"Time Stamp,""Time Zone"",""Name"",""PTID"",""Load"""
"01/01/2004 00:00:00,""EST"",""CAPITL"",61757,1015"
"01/01/2004 00:00:00,""EST"",""CENTRL"",61754,1651"
"01/01/2004 00:00:00,""EST"",""DUNWOD"",61760,618"
"01/01/2004 00:00:00,""EST"",""GENESE"",61753,972"
"01/01/2004 00:00:00,""EST"",""HUD VL"",61758,1120"
"01/01/2004 00:00:00,""EST"",""MHK VL"",61756,645"
"01/01/2004 00:00:00,""EST"",""MILLWD"",61759,223"
"01/01/2004 00:00:00,""EST"",""N.Y.C._LONGIL"",,7267"
"01/01/2004 00:00:00,""EST"",""NORTH"",61755,622"
"01/01/2004 00:00:00,""EST"",""WEST"",61752,1591"
"01/01/2004 00:00:47,""EST"",""CAPITL"",61757,1016"
"01/01/2004 00:00:47,""EST"",""CENTRL"",61754,1653"
"01/01/2004 00:00:47,""EST"",""DUNWOD"",61760,615"
"01/01/2004 00:00:47,""EST"",""GENESE"",61753,985"
"01/01/2004 00:00:47,""EST"",""HUD VL"",61758,1106"
"01/01/2004 00:00:47,""EST"",""MHK VL"",61756,641"
"01/01/2004 00:00:47,""EST"",""MILLWD"",61759,228"
"01/01/2004 00:00:47,""EST"",""N.Y.C._LONGIL"",,7272"
"01/01/2004 00:00:47,""EST"",""NORTH"",61755,625"
"01/01/2004 00:00:47,""EST"",""WEST"",61752,1609"
"01/01/2004 00:01:47,""EST"",""CAPITL"",61757,1021"
"01/01/2004 00:01:47,""EST"",""CENTRL"",61754,1647"
"01/01/2004 00:01:47,""EST"",""DUNWOD"",61760,618"
"01/01/2004 00:01:47,""EST"",""GENESE"",61753,980"
"01/01/2004 00:01:47,""EST"",""HUD VL"",61758,1096"
"01/01/2004 00:01:47,""EST"",""MHK VL"",61756,636"
"01/01/2004 00:01:47,""EST"",""MILLWD"",61759,221"
"01/01/2004 00:01:47,""EST"",""N.Y.C._LONGIL"",,7232"
"01/01/2004 00:01:47,""EST"",""NORTH"",61755,641"
"01/01/2004 00:01:47,""EST"",""WEST"",61752,1608"
"01/01/2004 00:05:47,""EST"",""CAPITL"",61757,990"
"01/01/2004 00:05:47,""EST"",""CENTRL"",61754,1627"
"01/01/2004 00:05:47,""EST"",""DUNWOD"",61760,610"
"01/01/2004 00:05:47,""EST"",""GENESE"",61753,960"
"01/01/2004 00:05:47,""EST"",""HUD VL"",61758,1084"
"01/01/2004 00:05:47,""EST"",""MHK VL"",61756,630"
"01/01/2004 00:05:47,""EST"",""MILLWD"",61759,218"
"01/01/2004 00:05:47,""EST"",""N.Y.C._LONGIL"",,7182"
"01/01/2004 00:05:47,""EST"",""NORTH"",61755,640"
"01/01/2004 00:05:47,""EST"",""WEST"",61752,1591"
"01/01/2004 00:15:47,""EST"",""CAPITL"",61757,998"
"01/01/2004 00:15:47,""EST"",""CENTRL"",61754,1630"
"01/01/2004 00:15:47,""EST"",""DUNWOD"",61760,620"
"01/01/2004 00:15:47,""EST"",""GENESE"",61753,951"
"01/01/2004 00:15:47,""EST"",""HUD VL"",61758,1099"
"01/01/2004 00:15:47,""EST"",""MHK VL"",61756,620"
"01/01/2004 00:15:47,""EST"",""MILLWD"",61759,215"
"01/01/2004 00:15:47,""EST"",""N.Y.C._LONGIL"",,7150"
"01/01/2004 00:15:47,""EST"",""NORTH"",61755,628"
"01/01/2004 00:15:47,""EST"",""WEST"",61752,1608"
"01/01/2004 00:17:17,""EST"",""CAPITL"",61757,989"
"01/01/2004 00:17:17,""EST"",""CENTRL"",61754,1617"
"01/01/2004 00:17:17,""EST"",""DUNWOD"",61760,608"
"01/01/2004 00:17:17,""EST"",""GENESE"",61753,948"
"01/01/2004 00:17:17,""EST"",""HUD VL"",61758,1077"
"01/01/2004 00:17:17,""EST"",""MHK VL"",61756,630"
"01/01/2004 00:17:17,""EST"",""MILLWD"",61759,217"
"01/01/2004 00:17:17,""EST"",""N.Y.C._LONGIL"",,7133"
"01/01/2004 00:17:17,""EST"",""NORTH"",61755,631"
"01/01/2004 00:17:17,""EST"",""WEST"",61752,1586"
"01/01/2004 00:22:17,""EST"",""CAPITL"",61757,996"
"01/01/2004 00:22:17,""EST"",""CENTRL"",61754,1613"
"01/01/2004 00:22:17,""EST"",""DUNWOD"",61760,596"
"01/01/2004 00:22:17,""EST"",""GENESE"",61753,949"
"01/01/2004 00:22:17,""EST"",""HUD VL"",61758,1055"
"01/01/2004 00:22:17,""EST"",""MHK VL"",61756,629"
"01/01/2004 00:22:17,""EST"",""MILLWD"",61759,221"
"01/01/2004 00:22:17,""EST"",""N.Y.C._LONGIL"",,7105"
"01/01/2004 00:22:17,""EST"",""NORTH"",61755,634"
"01/01/2004 00:22:17,""EST"",""WEST"",61752,1545"
"01/01/2004 00:23:47,""EST"",""CAPITL"",61757,990"
"01/01/2004 00:23:47,""EST"",""CENTRL"",61754,1615"
"01/01/2004 00:23:47,""EST"",""DUNWOD"",61760,593"
"01/01/2004 00:23:47,""EST"",""GENESE"",61753,950"
"01/01/2004 00:23:47,""EST"",""HUD VL"",61758,1061"
"01/01/2004 00:23:47,""EST"",""MHK VL"",61756,620"
"01/01/2004 00:23:47,""EST"",""MILLWD"",61759,219"
"01/01/2004 00:23:47,""EST"",""N.Y.C._LONGIL"",,7083"
"01/01/2004 00:23:47,""EST"",""NORTH"",61755,634"
"01/01/2004 00:23:47,""EST"",""WEST"",61752,1555"
"01/01/2004 00:28:47,""EST"",""CAPITL"",61757,974"
"01/01/2004 00:28:47,""EST"",""CENTRL"",61754,1614"
